plantid,blockid
06-05-100-0248923,BNA1401a
06-05-100-0248923,BNA1401b
14-80-00009560000,BNA0115
14-80-00009560000,BNA0116
06-05-700-0105516,BNA0793
14-70-46630660001,BNA0124
06-08-2948214,BNA0646b
06-08-2797933,BNA0518b
06-02-BERZ003800,BNA1558
06-02-BERZ003800,BNA1673
06-05-500-0338944,BNA0493
06-08-1020129,BNA0434
06-05-900-0079017,BNA0413b
06-05-900-0079017,BNA0413c
03-09-09281566110,BNA1061
12-40716440000,BNA0914
12-40716440000,BNA0915
06-05-900-9141660,BNA1508
03-09-09000237910,BNA1674
06-10-00100999,BNA0093
06-05-100-0365906,BNA0216b
06-05-900-0205103,BNA0067
06-05-100-0431554,BNA0991
06-05-100-0431554,BNA0992
06-10-00101003,BNA0820
06-05-300-0326774,BNA0707
14-70-46630660001,BNA1404
06-05-300-0877384,BNA1027
06-05-300-0877384,BNA1028
06-05-300-0326774,BNA0709
06-05-300-0326774,BNA0708
06-05-900-0865327,BNA1039
06-05-900-0865327,BNA1040
06-05-900-0865327,BNA1041
06-05-900-0865327,BNA1042
06-05-900-0865327,BNA1043
06-05-900-0865327,BNA1044
06-05-900-0865327,BNA1045
06-05-900-0865327,BNA1046a
06-05-900-0865327,BNA1046b
06-05-100-0248923,BNA0699
06-05-100-0248923,BNA0700
13-30-1010101,BNA0849
06-00176010435,BNA0377
06-08-2797933,BNA0518a
06-09-100-0003-0003,BNA1093
14-70-46630660001,BNA0122
14-70-46630660001,BNA0123
12-40710010000,BNA0785
12-40710010000,BNA0786
12-40710010000,BNA0787
12-40710010000,BNA0788
12-40710010000,BNA0789
12-40710010000,BNA0790
12358,BNA0878
12358,BNA0879
06-05-900-0327252,BNA0450
06-08-2948214,BNA0646a
06-08-1741292,BNA0020
06-08-2948214,BNA0645
06-05-100-0365906,BNA0216a
06-05-500-0342658,BNA0331
06-05-500-0342658,BNA0332
06-05-500-0342658,BNA0333
06-05-500-0342658,BNA0334
06-05-500-0342658,BNA0335
06-08-1741292,BNA0015
06-08-1741292,BNA0016
06-08-1741292,BNA0017
06-08-1741292,BNA0018
06-08-1741292,BNA0019
06-09-100-0088-0001,BNA0969b
06-05-900-0884101,BNA0619
01-50-02000283604,BNA0526
06-05-100-0853075,BNA0990
06-05-300-0877384,BNA1023
06-05-300-0877384,BNA1024
06-05-300-0877384,BNA1025
06-05-300-0877384,BNA1026
06-05-100-0853075,BNA0989
06-05-900-0045033,BNA1037
06-05-300-0326774,BNA0706
06-05-300-0326774,BNA0705
06-05-300-0326774,BNA0712
06-05-300-0326774,BNA0713
06-05-100-0248923,BNA0696
06-05-100-0248923,BNA0697
06-00176010435,BNA0376
06-05-100-0248923,BNA0698
06-05-100-0081105,BNA0313
06-05-900-0079017,BNA0413a
06-10-0075248,BNA0252
06-11-01-1105609,BNA0086
06-11-01-1105609,BNA0087
06-05-900-0327252,BNA0449
06-05-100-0081105,BNA0314
06-08-2948214,BNA0644
06-00176010435,BNA0375
06-10-00101000,BNA0999
06-08-2948214,BNA0642
06-08-2948214,BNA0643
06-05-900-0045033,BNA1035
06-10-00101000,BNA0998
06-11-01-1105501,BNA0081
06-05-900-0079017,BNA0414
06-05-900-0079017,BNA0415
06-05-900-0884101,BNA0618
06-05-100-0081105,BNA0310
01-50-56050192711,BNA0404
03-06-06060316030,BNA0420
03-06-06060316030,BNA0421
06-05-100-0081105,BNA0308
06-05-300-0877384,BNA1022
06-05-100-0081105,BNA0309
06-05-100-0229264,BNA0213
06-05-100-0229264,BNA0214
06-05-100-0081105,BNA0312
06-05-900-0327252,BNA0447
06-05-100-0081105,BNA0306
06-05-100-0081105,BNA0311
06-05-100-0081105,BNA0303
06-05-100-0081105,BNA0305
06-05-100-0081105,BNA0302
06-05-100-0365906,BNA0215
06-05-100-0081105,BNA0307
06-05-300-0326774,BNA0710
06-05-300-0326774,BNA0711
06-08-1020129,BNA0432
06-08-1020129,BNA0433
06-11-01-1105602,BNA0082
06-05-100-0081105,BNA0304
01-50-56050192711,BNA0403
06-05-300-0877384,BNA1021
06-05-500-0342713,BNA0189
06-05-100-9021016,BNA0557b
06-10-0075248,BNA0253
06-05-300-9046797,BNA0600b
06-05-100-0031758,BNA0211
06-05-500-0342713,BNA0187
06-05-500-0342713,BNA0188
14-60-48821410003,BNA0179
06-11-01-1105604,BNA0085a
06-05-100-0030723,BNA1084
12-40520430000,BNA0183
06-05-800-0203946,BNA0489
06-00464010412,BNA0289b
06-00464010412,BNA0290
14-60-48821410003,BNA0177
06-00059010413,BNA0758
12110,BNA0194
12-30532000000,BNA0284
06-05-800-0203946,BNA0490b
03-01-01010157480,BNA0138
06-05-800-0203946,BNA0490a
01-50-01000004838,BNA0273
06-14600010611,BNA0523
01-50-01000004838,BNA0272
01-50-01000004838,BNA0271
01-50-01000004838,BNA0270
06-08-3042693,BNA0801
06-05-100-9021016,BNA0557a
01-50-01000004838,BNA0274
06-09-500-0112-0001,BNA0261b
07-05-8030815,BNA0510b
06-09-100-0088-0003,BNA0681
06-09-100-0088-0003,BNA0682
06-09-100-0088-0005,BNA0683a
06-09-100-0088-0005,BNA0683b
06-09-100-0088-0005,BNA0683c
06-09-100-0088-0005,BNA0684a
06-09-100-0088-0005,BNA0684b
06-09-100-0088-0005,BNA0684c
06-09-100-0001-0002,BNA0993
06-09-100-0001-0002,BNA0994
06-09-100-0001-0002,BNA0995
06-09-674-2071-0001,BNA0243
06-09-600-0025-0001,BNA1085
06-09-600-0025-0001,BNA1086
06-09-600-0025-0001,BNA1087
06-09-600-0025-0001,BNA1088
06-09-271-0260-0001,BNA0805
06-09-500-0112-0001,BNA0261a
06-09-500-0112-0001,BNA0261c
06-09-500-0368-0001,BNA0744
06-09-500-0368-0001,BNA0745
06-09-500-0354-0002,BNA0742
06-09-500-0354-0002,BNA0743
06-08-2142201,BNA1005
06-08-2142201,BNA1006
06-09-671-0140-0001,BNA0926b
06-08-1383701,BNA1405a
06-05-300-0079450,BNA1097
03-01-01010098080,BNA0464
03-01-01244641360,BNA1499
18037,BNA1486
06-08-1195689,BNA0935
06-08-1195689,BNA0936
06-05-300-0890760,BNA1511a
06-05-300-0890760,BNA1511b
03-01-01241117210,BNA1075a
03-01-01241117210,BNA1075b
03-01-01241117210,BNA1076a
03-01-01241117210,BNA1076b
06-05-500-0342658,BNA0336
06-08-4124448,BNA1467
06-10-0020157,BNA0861a
06-10-0020157,BNA0861b
06-00453010412,BNA0497
06-00453010412,BNA0498
06-00453010412,BNA0499
06-05-800-0197010,BNA0491
16873,BNA1400a
16874,BNA1461
18040,BNA1002
06-05-300-0181417,BNA1293a
06-05-300-0181417,BNA1293b
06-05-300-0181417,BNA1293c
06-08-1371304,BNA0933
06-08-1371304,BNA0934
06-05-100-0888309,BNA1451
06-90031210632,BNA0804a
06-90031210632,BNA0804b
16-62-09401231000,BNA1271
06-05-300-0923949,BNA0543
06-05-300-0923949,BNA0546
06-05-300-0923949,BNA1182
06-05-700-0020290,BNA0098
06-05-700-0020290,BNA0101
06-09-761-0026-0001,BNA1103
06-90032200632,BNA0444
03-09-09281337040,BNA1335a
03-09-09281337040,BNA1335b
06-09-190-0036-0002,BNA1248a
06-09-190-0036-0002,BNA1248b
06-11-01-1105607,BNA0075
06-11-01-1105607,BNA0076
06-11-01-1105607,BNA0080
06-05-500-0875741,BNA0658
06-05-500-0875741,BNA0659
06-05-500-0875741,BNA0660
06-05-500-0875741,BNA0661
06-05-500-0875741,BNA0662a
06-05-500-0875741,BNA1676
03-06-06254353820,BNA0574a
03-06-06254353820,BNA0574b
06-00464020412,BNA0285
06-00464020412,BNA0288
03-04-04224004080,BNA0245a
03-04-04224004080,BNA0245b
06-05-100-0167182,BNA0220
06-05-100-0167182,BNA0221a
06-05-100-0167182,BNA0221b
06-05-100-0167182,BNA0221c
06-05-100-0167182,BNA1817
06-11-01-1105603,BNA0074
06-19200010636,BNA1465b
06-00176010435,BNA0374
06-09-171-0009-0B01,BNA0172a
06-09-171-0009-0B01,BNA0172b
06-08-3042693,BNA0799
06-08-3042693,BNA0800
06-05-300-9046797,BNA0600a
06-08-2797933,BNA0514
14-20-48821410003,BNA0178
06-14600010611,BNA0521
07-05-8030815,BNA0510a
GAS-0002,BNA0005
GAS-0002,BNA0006
GAS-0002,BNA0007
GAS-0002,BNA0008
06-76400010631,BNA1492a
06-76400010631,BNA1492b
07-04-6048443,BNA1284
07-01-126351,BNA1523a
07-01-126351,BNA1523b
07-01-126351,BNA1523d
07-05-8153238,BNA1516
06-02-B28903H003,BNA0401
14-30-56918040000,BNA0233
12-60510410000,BNA0130
12-40669070000,BNA0893
16591,BNA0088a
13-40-1300408,BNA0896
13770,BNA0592
13770,BNA0593
13770,BNA0594
13770,BNA0595
06-05-300-0054298,BNA0544
15397,BNA1506
06-05-100-0990908,BNA0753
06-05-100-0387357,BNA1332
06-05-100-0018507,BNA0556a
06-05-100-0018507,BNA0556b
06-11-01-1105503,BNA0073
14-30-55047380000,BNA0588
14326,BNA0922
14326,BNA0922a
13-30-2102110,BNA0848
16-30-31400103005,BNA0343
03-10-10257401440,BNA1509
18042,BNA1089
06-05-300-0215520,BNA1279
06-05-900-0235121,BNA0156b
07-05-8290552,BNA0614a
07-05-8290552,BNA0614b
07-05-8290552,BNA0615
13-50-138,BNA0688
06-08-9840001,BNA0293
14-70-52316700250,BNA1396
06-00004310411,BNA1487
06-00004310411,BNA1125
12342,BNA0105
16-30-30400102003,BNA0256a
16-30-30400102003,BNA0256b
07-04-6021280,BNA0626
07-04-6021280,BNA0627
06-08-3610519,BNA1315
06-09-187-4048-0001,BNA1328
06-09-171-0002--C01,BNA0174
06-08-34064722,BNA0361
06-05-900-0021170,BNA0110
06-05-300-0370387,BNA0545
06-05-300-0370387,BNA1818
12305,BNA0392a
12305,BNA0392b
06-05-100-0030712,BNA1082
06-08-2951606,BNA1200
06-05-300-9046030,BNA0548a
06-05-300-9046030,BNA0548b
06-05-900-0125939,BNA0442
06-05-900-9140178,BNA0410
06-05-900-9140178,BNA0411
07-05-8779480,BNA1078
06-02-B10117A007,BNA0400
06-02-B10117A007,BNA0402
03-10-10257673950,BNA0602
03-10-10257673950,BNA0603
03-10-10257673950,BNA0604
03-10-10257673950,BNA0605
03-10-10257673950,BNA0606
06-09-100-0020-0001,BNA0842a
06-09-100-0020-0001,BNA0842b
03-03-03030273580,BNA0918a
03-03-03030273580,BNA0918b
03-03-03267770260,BNA1437
06-05-300-0838652,BNA0117b
06-26200010633,BNA0059a
06-26200010633,BNA0059b
06-09-661-0020-0001,BNA1337a
06-09-661-0020-0001,BNA1337e
14-20-60319980000,BNA1541
14-70-51322590000,BNA1556
03-09-09261732970,BNA1671
01-50-01000004838,BNA1819
666-11,BNA0381
666-11,BNA0382
666-12,BNA0802
666-13,BNA0251
666-14,BNA0157
666-15,BNA0355
666-16,BNA0263
666-17,BNA0607
666-18,BNA0686
03-08-08271405180,BNA1500
06-05-900-0001413,BNA1331
06-05-100-9021040,BNA0199
06-00000130433,BNA0857
06-08-1574906,BNA1260
01-50-56050192711,BNA1015
01-50-56050192711,BNA1016
669-01,BNA0378
669-01,BNA0379
06-05-100-0167182,BNA0222
03-09-09281566110,BNA1060
03-01-01012110180,BNA0439
664-02,BNA0196
664-03,BNA0680
664-04,BNA1164
664-05,BNA1141
664-06,BNA0292
664-07,BNA0714
664-08,BNA1185
663-01,BNA0812
663-02,BNA0448
663-03,BNA0203
663-04,BNA0011
663-05,BNA0813
663-06,BNA0212
663-07,BNA0834
661-01,BNA0755b
661-02,BNA1935
661-03,BNA0814
661-04,BNA0286
661-05,BNA0804
661-06,BNA0239
661-07,BNA0418
661-07,BNA0419
661-08,BNA0389
661-09,BNA0099
661-10,BNA1945
661-11,BNA1276
661-12,BNA1292b
661-13,BNA1275
661-14,BNA0832
661-15,BNA0957
661-16,BNA1333a
661-16,BNA1333b
661-16,BNA1333c
661-17,BNA1151
661-18,BNA1408
661-19,BNA0515
661-20,BNA1909
661-21,BNA1938
661-22,BNA0232c
661-23,BNA0702
661-24,BNA1944
661-25,BNA1327a
661-25,BNA1678
661-25,BNA1327b
661-26,BNA1128
661-26,BNA1127
661-27,BNA1444a
661-27,BNA1444b
661-27,BNA1444c
661-27,BNA1444d
661-28,BNA0843
661-29,BNA0033
661-30,BNA1873
661-31,BNA1934
661-32,BNA1862
661-32,BNA1861
661-33,BNA1946
661-33,BNA1947
661-34,BNA0755a
661-35,BNA1238
661-36,BNA1225
661-36,BNA1226
661-37,BNA1104
661-38,BNA1821
661-39,BNA0129
661-40,BNA1056
661-41,BNA1937
661-42,BNA1868
661-43,BNA1117
661-44,BNA0897
661-45,BNA1531
661-46,BNA0360
661-47,BNA0025
661-48,BNA0136
661-48,BNA0135
661-49,BNA0137
661-51,BNA1465d
661-52,BNA1450
661-53,BNA1402
661-54,BNA1810
661-55,BNA0354
661-56,BNA1285
661-57,BNA1498
661-58,BNA1524
661-59,BNA0012b
661-60,BNA1463
661-61,BNA1677
661-62,BNA1503
661-63,BNA0118
661-64,BNA0531
661-65,BNA0752
661-66,BNA1406
661-67,BNA1336
661-68,BNA1131
661-69,BNA0386
661-70,BNA1165
661-71,BNA1187
661-72,BNA0202
661-73,BNA1183
661-74,BNA1121
661-74,BNA1120
661-75,BNA1502
661-76,BNA1094
661-77,BNA0100
661-78,BNA0111
661-79,BNA1138
661-80,BNA1528
661-81,BNA1658
661-82,BNA1193
661-83,BNA0685
661-84,BNA0811
661-84,BNA0810
661-85,BNA1504
661-86,BNA1196a
661-86,BNA1196b
661-87,BNA1507
661-88,BNA1458
661-89,BNA1859
661-90,BNA1863
661-91,BNA1464
661-92,BNA0913
661-93,BNA1911
661-94,BNA0207
661-95,BNA1329
661-96,BNA1407
661-97,BNA1557
661-98,BNA1866
661-99,BNA0051
661-100,BNA1403
661-101,BNA1489
661-102,BNA1400b
661-103,BNA1074
661-104,BNA1904
661-105,BNA0527
661-106,BNA1925
661-107,BNA1926
661-108,BNA1505
661-109,BNA0255
661-110,BNA1264
661-111,BNA1927
661-112,BNA1105
661-113,BNA0504
661-114,BNA0856
06-09-100-0003-0003,BNA1092
06-11-01-1105604,BNA0085b
01-50-01000004838,BNA0269
662-01,BNA0161
662-01,BNA0162
662-01,BNA0163
662-01,BNA0164
662-02,BNA0894c
662-02,BNA0894d
662-02,BNA0894e
662-02,BNA0894a
662-02,BNA0894b
662-03,BNA0648
662-03,BNA0649
662-04,BNA1004
662-05,BNA0083
662-06,BNA0647
662-07,BNA1036
662-08,BNA1083
662-09,BNA0373
662-10,BNA0596
662-11,BNA0759
662-12,BNA0766
662-12,BNA0939b
662-12,BNA0938
662-12,BNA0937
662-13,BNA0516
662-13,BNA0517
662-14,BNA0427
662-14,BNA0428
662-14,BNA0429
662-14,BNA0430
662-15,BNA1337d
662-16,BNA1212
662-17,BNA1007a
662-18,BNA1227
662-19,BNA1007b
662-20,BNA1338
662-21,BNA1294
662-22,BNA0318
662-23,BNA0012d
662-24,BNA0547
662-25,BNA1166
662-26,BNA1293d
662-27,BNA1280
662-28,BNA0369
12-50724070000,BNA0734
12-50724070000,BNA0735
12-50724070000,BNA0736
12-50724070000,BNA0737
12-50724070000,BNA0738
12-50724070000,BNA0739
12-50724070000,BNA0740
12-50724070000,BNA0741
06-04-11/2001178/8/0,BNA0140
06-04-11/2001178/8/0,BNA0144
06-04-11/2001178/8/1,BNA0139
06-04-11/2001178/8/1,BNA0145
06-04-11/2001178/8/1,BNA0146
06-04-11/2001178/8/2,BNA0141
06-04-11/2001178/8/2,BNA1842
06-04-11/2001178/8/2,BNA1820
661-115,BNA1334
06-04-11/2039669/2/0,BNA0147