KraftwerkID,BlockID
06-05-100-0248923,BNA1401a
06-05-100-0248923,BNA1401b
14-80-00009560000,BNA0115
14-80-00009560000,BNA0116
06-05-700-0105516,BNA0793
14-70-46630660001,BNA0124
06-08-2948214,BNA0646b
06-08-2797933,BNA0518b
06-02-BERZ003800,BNA1558
06-02-BERZ003800,BNA1673
06-05-500-0338944,BNA0493
06-08-1020129,BNA0434
06-05-900-0079017,BNA0413b
06-05-900-0079017,BNA0413c
03-09-09281566110,BNA1061
12-40716440000,BNA0914
12-40716440000,BNA0915
06-05-900-9141660,BNA1508
03-09-09000237910,BNA1674
06-10-00100999,BNA0093
06-05-100-0365906,BNA0216b
06-05-900-0205103,BNA0067
06-05-100-0431554,BNA0991
06-05-100-0431554,BNA0992
06-05-500-0342658,BNA0335
06-10-00101003,BNA0820
06-05-300-0326774,BNA0707
14-70-46630660001,BNA1404
06-05-300-0877384,BNA1027
06-05-300-0877384,BNA1028
06-05-300-0326774,BNA0709
06-05-300-0326774,BNA0708
06-05-900-0865327,BNA1039
06-05-900-0865327,BNA1040
06-05-900-0865327,BNA1041
06-05-900-0865327,BNA1042
06-05-900-0865327,BNA1043
06-05-900-0865327,BNA1044
06-05-900-0865327,BNA1045
06-05-900-0865327,BNA1046a
06-05-900-0865327,BNA1046b
06-05-100-0248923,BNA0699
06-05-100-0248923,BNA0700
13-30-1010101,BNA0849
06-00176010435,BNA0377
06-08-2797933,BNA0518a
06-09-100-0003-0003,BNA1093
14-70-46630660001,BNA0122
14-70-46630660001,BNA0123
12-40710010000,BNA0785
12-40710010000,BNA0786
12-40710010000,BNA0787
12-40710010000,BNA0788
12-40710010000,BNA0789
12-40710010000,BNA0790
12358,BNA0878
12358,BNA0879
06-05-900-0327252,BNA0450
06-08-2948214,BNA0646a
06-08-1741292,BNA0020
06-08-2948214,BNA0645
06-05-100-0365906,BNA0216a
06-04-11/2039669/2/0,BNA0147
06-05-500-0342658,BNA0331
06-05-500-0342658,BNA0332
06-05-500-0342658,BNA0333
06-05-500-0342658,BNA0334
06-08-1741292,BNA0015
06-08-1741292,BNA0016
06-08-1741292,BNA0017
06-08-1741292,BNA0018
06-08-1741292,BNA0019
06-09-100-0088-0001,BNA0969b
06-05-900-0884101,BNA0619
01-50-02000283604,BNA0526
06-05-100-0853075,BNA0990
06-05-300-0877384,BNA1023
06-05-300-0877384,BNA1024
06-05-300-0877384,BNA1025
06-05-300-0877384,BNA1026
06-05-100-0853075,BNA0989
06-05-900-0045033,BNA1037
06-04-11/2001178/8/0,BNA0146
06-05-300-0326774,BNA0706
06-05-300-0326774,BNA0705
06-05-300-0326774,BNA0712
06-05-300-0326774,BNA0713
06-05-100-0248923,BNA0696
06-05-100-0248923,BNA0697
06-00176010435,BNA0376
06-05-100-0248923,BNA0698
06-05-100-0081105,BNA0313
06-05-900-0079017,BNA0413a
06-10-0075248,BNA0252
06-11-01-1105609,BNA0086
06-11-01-1105609,BNA0087
06-05-900-0327252,BNA0449
06-05-100-0081105,BNA0314
06-08-2948214,BNA0644
06-00176010435,BNA0375
06-10-00101000,BNA0999
06-08-2948214,BNA0642
06-08-2948214,BNA0643
06-05-900-0045033,BNA1035
06-10-00101000,BNA0998
06-11-01-1105501,BNA0081
06-05-900-0079017,BNA0414
06-05-900-0079017,BNA0415
06-05-900-0884101,BNA0618
06-05-100-0081105,BNA0310
01-50-56050192711,BNA0404
03-06-06060316030,BNA0420
03-06-06060316030,BNA0421
06-05-100-0081105,BNA0308
06-05-300-0877384,BNA1022
06-05-100-0081105,BNA0309
06-05-100-0229264,BNA0213
06-05-100-0229264,BNA0214
06-05-100-0081105,BNA0312
06-05-900-0327252,BNA0447
06-05-100-0081105,BNA0306
06-05-100-0081105,BNA0311
06-05-100-0081105,BNA0303
06-05-100-0081105,BNA0305
06-05-100-0081105,BNA0302
06-05-100-0365906,BNA0215
06-05-100-0081105,BNA0307
06-05-300-0326774,BNA0710
06-05-300-0326774,BNA0711
06-08-1020129,BNA0432
06-08-1020129,BNA0433
06-11-01-1105602,BNA0082
06-05-100-0081105,BNA0304
01-50-56050192711,BNA0403
06-05-300-0877384,BNA1021
06-04-11/2001178/8/0,BNA0144
1,BNA0189
06-05-100-9021016,BNA0557b
06-10-0075248,BNA0253
06-05-300-9046797,BNA0600b
06-05-100-0031758,BNA0211
1,BNA0187
1,BNA0188
14-60-48821410003,BNA0179
06-11-01-1105604,BNA0085a
06-05-100-0030723,BNA1084
12-40520430000,BNA0183
06-05-800-0203946,BNA0489
06-00464010412,BNA0289b
06-00464010412,BNA0290
14-60-48821410003,BNA0177
06-00059010413,BNA0758
12110,BNA0194
12-30532000000,BNA0284
06-05-800-0203946,BNA0490b
03-01-01010157480,BNA0138
06-05-800-0203946,BNA0490a
01-50-01000004838,BNA0273
06-14600010611,BNA0523
01-50-01000004838,BNA0272
01-50-01000004838,BNA0271
01-50-01000004838,BNA0270
06-08-3042693,BNA0801
06-05-100-9021016,BNA0557a
01-50-01000004838,BNA0274
06-09-500-0112-0001,BNA0261b
07-05-8030815,BNA0510b
06-09-100-0088-0003,BNA0681
06-09-100-0088-0003,BNA0682
06-09-100-0088-0005,BNA0683a
06-09-100-0088-0005,BNA0683b
06-09-100-0088-0005,BNA0683c
06-09-100-0088-0005,BNA0684a
06-09-100-0088-0005,BNA0684b
06-09-100-0088-0005,BNA0684c
06-09-100-0001-0002,BNA0993
06-09-100-0001-0002,BNA0994
06-09-100-0001-0002,BNA0995
06-09-674-2071-0001,BNA0243
06-09-600-0025-0001,BNA1085
06-09-600-0025-0001,BNA1086
06-09-600-0025-0001,BNA1087
06-09-600-0025-0001,BNA1088
06-09-271-0260-0001,BNA0805
06-09-500-0112-0001,BNA0261a
06-09-500-0112-0001,BNA0261c
06-09-500-0368-0001,BNA0744
06-09-500-0368-0001,BNA0745
06-09-500-0354-0002,BNA0742
06-09-500-0354-0002,BNA0743
06-08-2142201,BNA1005
06-08-2142201,BNA1006
06-09-671-0140-0001,BNA0926b
06-08-1383701,BNA1405a
06-05-300-0079450,BNA1097
03-01-01010098080,BNA0464
03-01-01244641360,BNA1499
18037,BNA1486
06-08-1195689,BNA0935
06-08-1195689,BNA0936
06-05-300-0890760,BNA1511a
06-05-300-0890760,BNA1511b
03-01-01241117210,BNA1677
03-01-01241117210,BNA1075a
03-01-01241117210,BNA1075b
03-01-01241117210,BNA1076a
03-01-01241117210,BNA1076b
06-05-500-0342658,BNA0336
06-08-4124448,BNA1467
06-10-0020157,BNA0861a
06-10-0020157,BNA0861b
06-00453010412,BNA0497
06-00453010412,BNA0498
06-00453010412,BNA0499
06-05-800-0197010,BNA0491
16873,BNA1400a
16874,BNA1461
18040,BNA1002
06-05-300-0181417,BNA1293a
06-05-300-0181417,BNA1293b
06-05-300-0181417,BNA1293c
06-08-1371304,BNA0933
06-08-1371304,BNA0934
06-05-100-0888309,BNA1451
06-90031210632,BNA0804a
06-90031210632,BNA0804b
16-62-09401231000,BNA1271
06-05-300-0923949,BNA0543
06-05-300-0923949,BNA0546
06-05-300-0923949,BNA1182
06-05-700-0020290,BNA0098
06-05-700-0020290,BNA0101
06-09-761-0026-0001,BNA1103
06-90032200632,BNA0444
03-09-09281337040,BNA1335a
03-09-09281337040,BNA1335b
06-09-190-0036-0002,BNA1248a
06-09-190-0036-0002,BNA1248b
06-11-01-1105607,BNA0075
06-11-01-1105607,BNA0076
06-11-01-1105607,BNA0080
06-05-500-0875741,BNA0658
06-05-500-0875741,BNA0659
06-05-500-0875741,BNA0660
06-05-500-0875741,BNA0661
06-05-500-0875741,BNA0662a
06-05-500-0875741,BNA1676
03-06-06254353820,BNA0574a
03-06-06254353820,BNA0574b
06-00464020412,BNA0285
06-00464020412,BNA0288
03-04-04224004080,BNA0245a
03-04-04224004080,BNA0245b
06-05-100-0167182,BNA0220
06-05-100-0167182,BNA0221a
06-05-100-0167182,BNA0221b
06-05-100-0167182,BNA0221c
06-05-100-0167182,BNA1817
06-11-01-1105603,BNA0074
06-19200010636,BNA1465b
06-00176010435,BNA0374
06-09-171-0009-0B01,BNA0172a
06-09-171-0009-0B01,BNA0172b
06-08-3042693,BNA0799
06-08-3042693,BNA0800
06-05-300-9046797,BNA0600a
06-08-2797933,BNA0514
06-08-2797933,BNA0515
14-20-48821410003,BNA0178
06-14600010611,BNA0521
GAS-0001,BNA0734
GAS-0001,BNA0735
GAS-0001,BNA0736
GAS-0001,BNA0737
GAS-0001,BNA0738
GAS-0001,BNA0739
GAS-0001,BNA0740
GAS-0001,BNA0741
07-05-8030815,BNA0510a
GAS-0002,BNA0005
GAS-0002,BNA0006
GAS-0002,BNA0007
GAS-0002,BNA0008
06-76400010631,BNA1492a
06-76400010631,BNA1492b
07-04-6048443,BNA1284
07-01-126351,BNA1523a
07-01-126351,BNA1523b
07-01-126351,BNA1523d
07-05-8153238,BNA1516
06-02-B28903H003,BNA0401
14-30-56918040000,BNA0233
12-60510410000,BNA0130
12-40669070000,BNA0893
16591,BNA0088a
13-40-1300408,BNA0896
13770,BNA0592
13770,BNA0593
13770,BNA0594
13770,BNA0595
06-05-300-0054298,BNA0544
15397,BNA1506
06-05-100-0990908,BNA0753
06-05-100-0387357,BNA1332
06-05-100-0018507,BNA0556a
06-05-100-0018507,BNA0556b
06-11-01-1105503,BNA0073
14-30-55047380000,BNA0588
14326,BNA0922
14326,BNA0922a
13-30-2102110,BNA0848
16-30-31400103005,BNA0343
03-10-10257401440,BNA1509
18042,BNA1089
06-05-300-0215520,BNA1279
06-05-900-0235121,BNA0156b
07-05-8290552,BNA0614a
07-05-8290552,BNA0614b
07-05-8290552,BNA0615
13-50-138,BNA0688
06-08-9840001,BNA0293
14-70-52316700250,BNA1396
06-00004310411,BNA1487
06-00004310411,BNA1125
12342,BNA0105
16-30-30400102003,BNA0256a
16-30-30400102003,BNA0256b
07-04-6021280,BNA0626
07-04-6021280,BNA0627
06-08-3610519,BNA1315
06-09-187-4048-0001,BNA1328
06-09-171-0002--C01,BNA0174
06-08-34064722,BNA0361
06-05-900-0021170,BNA0110
06-05-300-0370387,BNA0545
06-05-300-0370387,BNA1818
12305,BNA0392a
12305,BNA0392b
06-05-100-0030712,BNA1082
06-08-2951606,BNA1200
06-05-300-9046030,BNA0548a
06-05-300-9046030,BNA0548b
06-05-900-0125939,BNA0442
06-05-900-9140178,BNA0410
06-05-900-9140178,BNA0411
07-05-8779480,BNA1078
06-02-B10117A007,BNA0400
06-02-B10117A007,BNA0402
03-10-10257673950,BNA0602
03-10-10257673950,BNA0603
03-10-10257673950,BNA0604
03-10-10257673950,BNA0605
03-10-10257673950,BNA0606
06-09-100-0020-0001,BNA0842a
06-09-100-0020-0001,BNA0842b
03-03-03030273580,BNA0918a
03-03-03030273580,BNA0918b
03-03-03267770260,BNA1437
06-05-300-0838652,BNA0117b
06-26200010633,BNA0059a
06-26200010633,BNA0059b
06-09-661-0020-0001,BNA1337a
06-09-661-0020-0001,BNA1337e
14-20-60319980000,BNA1541
14-70-51322590000,BNA1556
03-09-09261732970,BNA1671
06-04-11/2001178/8/2,BNA1334
06-04-11/2001178/8/2,BNA1820
06-04-11/2001178/8/2,BNA0145
01-50-01000004838,BNA1819
